City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Maxixe,MZ,-23.8597,35.3472,67.41,76,93,14.43,overcast clouds
188,Thunder Bay,CA,48.4001,-89.3168,60.71,72,40,9.22,scattered clouds
189,Yulara,AU,-25.2406,130.9889,58.55,48,0,16.96,clear sky
190,Nosy Varika,MG,-20.5833,48.5333,63.39,92,19,4.09,few clouds
191,Half Moon Bay,US,37.4636,-122.4286,84.54,76,100,6.91,overcast clouds
192,Buala,SB,-8.145,159.5921,85.87,67,97,8.08,light rain
193,Ulaangom,MN,49.9811,92.0667,66.69,44,6,5.84,clear sky
194,Moyamba,SL,8.1667,-12.4333,72.34,97,100,3.22,light rain
195,Cayenne,GF,4.9333,-52.3333,83.08,1,0,3.44,clear sky
196,Irece,BR,-11.3042,-41.8558,64.76,81,31,13.2,scattered clouds
197,Puerto Maldonado,PE,-12.6,-69.1833,73.74,85,33,1.41,scattered clouds
198,Nichinan,JP,31.6,131.3667,85.15,74,86,2.53,overcast clouds
199,Wanning,CN,18.8003,110.3967,84.27,71,25,2.68,scattered clouds
200,Kuminskiy,RU,58.6667,66.5667,59.85,94,82,6.6,light rain
201,Aksu,CN,41.1231,80.2644,87.85,25,100,2.28,overcast clouds
202,Ponta Do Sol,PT,32.6667,-17.1,84.13,36,0,3.15,clear sky
203,Hasaki,JP,35.7333,140.8333,91.29,81,89,14.5,overcast clouds
204,Bayangol,RU,50.6977,103.4656,54.09,89,100,1.79,overcast clouds
205,Sierpc,PL,52.8568,19.6691,58.44,82,94,2.21,overcast clouds
206,Aklavik,CA,68.2191,-135.0107,62.29,50,28,6.04,scattered clouds
207,Coahuayana,MX,18.7333,-103.6833,83.03,77,93,5.1,overcast clouds
208,Touros,BR,-5.1989,-35.4608,73.9,75,57,17.34,broken clouds
209,Fare,PF,-16.7,-151.0167,78.33,78,2,12.55,light rain
210,Kingsville,US,27.5159,-97.8561,89.85,65,0,18.41,clear sky
211,Grootegast,NL,53.2125,6.2736,73.42,83,100,4.63,overcast clouds
212,Souillac,MU,-20.5167,57.5167,66.79,81,55,5.95,light rain
213,Mao,ES,39.8885,4.2658,79.36,89,0,4.61,clear sky
214,Olafsvik,IS,64.8945,-23.7142,52.02,82,99,6.67,overcast clouds
