City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Mahebourg,MU,64.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
90,Maldonado,UY,54.79,overcast clouds,-34.6667,-54.9167,La Cimarrona
91,Qasigiannguit,GL,36.82,overcast clouds,68.8193,-51.1922,Almost HOME
94,Puerto Baquerizo Moreno,EC,69.55,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
96,Port Elizabeth,ZA,53.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
97,Belen,TR,67.33,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
99,Paita,PE,63.93,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
100,Barrow,US,42.82,overcast clouds,71.2906,-156.7887,King Eider Inn
102,Brae,GB,52.7,light rain,60.3964,-1.353,Busta House Hotel
103,Ocampo,MX,67.66,few clouds,21.65,-101.5,Hotel Estancia del Vaquero
109,Gisborne,NZ,54.03,overcast clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
110,Ahipara,NZ,62.49,light rain,-35.1667,173.1667,Ahipara Holiday Park
111,Upernavik,GL,40.82,overcast clouds,72.7868,-56.1549,Café de Upernavik
112,Mwinilunga,ZM,55.08,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
113,Soyo,AO,69.44,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
114,Dolores,AR,51.48,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
116,New Norfolk,AU,52.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
118,Lebu,CL,53.42,moderate rain,-37.6167,-73.65,Hostal Las Lilas
119,Talnakh,RU,56.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
122,Lotoshino,RU,61.52,light rain,56.2267,35.6414,Hotel Komfort
126,Castro,BR,58.84,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
127,Port Alfred,ZA,58.86,broken clouds,-33.5906,26.891,The Halyards Hotel
129,Seymchan,RU,67.23,broken clouds,62.8833,152.4333,
130,East London,ZA,59.32,overcast clouds,-33.0153,27.9116,Tu Casa
132,Port Lincoln,AU,57.34,clear sky,-34.7333,135.8667,Port Lincoln Hotel
134,Jumla,NP,61.61,overcast clouds,29.2747,82.1838,Royal Garden Hotel
135,Iqaluit,CA,47.93,scattered clouds,63.7506,-68.5145,Frobisher Inn
141,Ancud,CL,47.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
142,Bambous Virieux,MU,68.68,broken clouds,-20.3428,57.7575,Casa Tia Villa
143,Kodiak,US,52.95,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
147,Muriwai Beach,NZ,56.48,light rain,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
148,Xingyi,CN,68.81,clear sky,24.1877,102.817,
151,Mazsalaca,LV,58.42,overcast clouds,57.8633,25.0547,"Viesnīca ''Miks"""
152,Bjornevatn,NO,50.34,scattered clouds,69.6672,29.9847,Snowhotel Kirkenes & Gamme Northern Lights Cabins
155,Nsanje,MW,62.85,clear sky,-16.92,35.262,Nsanje Discovery Lodge
156,Janow Lubelski,PL,58.23,overcast clouds,50.707,22.4104,Hotel Królewski
157,Flinders,AU,64.38,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
160,Sitka,US,56.35,light rain,57.0531,-135.33,Westmark Sitka
162,Gunzenhausen,DE,65.37,clear sky,49.1,10.75,Parkhotel Altmühltal
163,Khatanga,RU,66.34,light rain,71.9667,102.5,"""Khatanga"""
164,Dikson,RU,49.75,overcast clouds,73.5069,80.5464,
165,Provideniya,RU,46.51,light rain,64.3833,-173.3,
166,Deputatskiy,RU,65.39,overcast clouds,69.3,139.9,Baza Otdykha
168,Bereda,ES,56.14,overcast clouds,43.2686,-7.5406,Pazo de Verdes
169,Necochea,AR,48.24,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
171,Inhambane,MZ,67.5,overcast clouds,-23.865,35.3833,Oceano
175,Pisco,PE,60.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
176,Leningradskiy,RU,35.11,overcast clouds,69.3833,178.4167,Gostinitsa
177,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
179,Rocha,UY,56.28,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
182,Moron,AR,58.95,mist,-34.6534,-58.6198,Hotel Morón
183,Anadyr,RU,54.1,broken clouds,64.75,177.4833,Отке17.ру — жильё для командированных
185,Mar Del Plata,AR,51.1,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
186,Petropavlivka,UA,66.38,overcast clouds,48.4564,36.4367,Банька в Петропавловке
187,Maxixe,MZ,67.41,overcast clouds,-23.8597,35.3472,Oceano
188,Thunder Bay,CA,60.71,scattered clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
189,Yulara,AU,58.55,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
190,Nosy Varika,MG,63.39,few clouds,-20.5833,48.5333,Hotel Volazara
193,Ulaangom,MN,66.69,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
196,Irece,BR,64.76,scattered clouds,-11.3042,-41.8558,Hotel Copa 70
200,Kuminskiy,RU,59.85,light rain,58.6667,66.5667,
204,Bayangol,RU,54.09,overcast clouds,50.6977,103.4656,
205,Sierpc,PL,58.44,overcast clouds,52.8568,19.6691,"Bar ""MaxiM"" - Restauracja, Catering, Sale Bankietowe, Hotel"
206,Aklavik,CA,62.29,scattered clouds,68.2191,-135.0107,Aklavik Inn
212,Souillac,MU,66.79,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
214,Olafsvik,IS,52.02,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
217,Kalakamati,BW,57.18,clear sky,-20.5929,27.3121,
218,Pevek,RU,35.91,overcast clouds,69.7008,170.3133,Severnoye Zoloto
220,Gidole,ET,59.02,broken clouds,5.65,37.3667,Shallom mekaneyesus church
221,Novikovo,RU,63.48,broken clouds,51.1537,37.8879,
222,Kenai,US,69.03,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
223,Norrkoping,SE,63.59,overcast clouds,58.5942,16.1826,The Lamp Hotel
224,Nikolskoye,RU,62.49,broken clouds,59.7035,30.7861,Tourist House - Sablino
225,Yeppoon,AU,67.78,scattered clouds,-23.1333,150.7333,Villa Mar Colina
227,Lavrentiya,RU,42.53,overcast clouds,65.5833,-171.0,
228,Geraldton,AU,48.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
229,Severo-Kurilsk,RU,51.8,light rain,50.6789,156.125,Kak Doma
231,Villagomez,CO,61.47,overcast clouds,5.2737,-74.1961,hotel Villagómez
233,Hay River,CA,60.22,light rain,60.8156,-115.7999,Ptarmigan Inn
239,Prata,BR,69.6,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
241,Masunga,BW,57.61,clear sky,-20.6246,27.4488,
242,Reconquista,AR,69.21,clear sky,-29.15,-59.65,Grand Hotel
243,Baykit,RU,62.53,broken clouds,61.67,96.37,
246,Araxa,BR,61.81,few clouds,-19.5933,-46.9406,Plaza Inn Flat Araxá
252,Namibe,AO,63.7,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
254,Jaguarari,BR,63.93,overcast clouds,-10.2639,-40.1958,Hotel Quintal De Casa
257,Andenes,NO,50.94,scattered clouds,69.3143,16.1194,Hotell Marena
259,Tasiilaq,GL,41.16,overcast clouds,65.6145,-37.6368,The Red House
260,Vardo,NO,44.58,few clouds,70.3705,31.1107,Vardø Hotel AS
262,Lasa,IT,67.69,clear sky,46.6166,10.7002,Pension Feldgärtenhof
264,Yurla,RU,63.52,scattered clouds,59.3259,54.3223,
268,Hovd,MN,65.19,clear sky,48.0056,91.6419,Hotel Khovd
270,Havre-Saint-Pierre,CA,61.63,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
271,Hinton,CA,66.0,overcast clouds,53.4001,-117.5857,Econo Lodge & Suites
272,Chongwe,ZM,55.71,clear sky,-15.3292,28.682,Grakas Lodge
273,Uyuni,BO,43.9,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
274,Agirish,RU,54.12,overcast clouds,61.9247,63.0231,
275,Yar-Sale,RU,49.17,overcast clouds,66.8333,70.8333,Yalemd
276,Terme,TR,64.8,clear sky,41.2092,36.9739,OTEL GÜVEN TERME
277,Te Anau,NZ,44.78,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
278,Grindavik,IS,49.95,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
279,Qaqortoq,GL,48.13,overcast clouds,60.7167,-46.0333,Siniffik Inn
280,Haines Junction,CA,49.98,overcast clouds,60.7522,-137.5108,Parkside Inn
281,Bojnurd,IR,66.43,broken clouds,37.4747,57.329,Hotel negin bojnourd
283,Sovetskiy,RU,57.49,scattered clouds,61.3614,63.5842,Apartment on Kievskaya 29
288,Tuatapere,NZ,45.64,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
295,Kemijarvi,FI,49.93,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
296,Macusani,PE,37.31,overcast clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
297,Grand Gaube,MU,64.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
298,Mildura,AU,60.08,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
299,Chapais,CA,62.22,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
300,Rorvik,NO,56.57,overcast clouds,64.8621,11.2373,Kysthotellet Rørvik AS
303,Ilulissat,GL,37.67,overcast clouds,69.2167,-51.1,Hotel Arctic
304,Constitucion,CL,53.35,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
305,Wladyslawowo,PL,60.01,scattered clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
308,Matagami,CA,61.66,few clouds,49.7502,-77.6328,Motel Le Caribou
317,Burns Lake,CA,60.24,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
319,Wlodawa,PL,57.94,overcast clouds,51.55,23.55,Ośrodek Wypoczynkowy Ranczo
323,Codrington,AU,54.19,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
329,Areado,BR,61.3,clear sky,-21.3586,-46.1456,Hotel do Sol
330,Tilichiki,RU,58.98,scattered clouds,60.4667,166.1,
336,Rottenmann,AT,58.28,clear sky,47.5167,14.35,Gasthaus zur Melzen
339,Doka,SD,68.77,overcast clouds,13.5167,35.7667,Um Rakuba Refugee Camp
346,Saint-Pierre,RE,65.28,clear sky,-21.3393,55.4781,Alize Plage
347,Varhaug,NO,62.15,overcast clouds,58.6147,5.6457,Jonas Bue
355,Oktyabrskiy,RU,63.03,few clouds,54.4815,53.471,Гостиница Октябрьская
359,Smolenka,RU,62.67,scattered clouds,52.1352,113.4974,Russkaya Usadba v Zarechye
362,Kajaani,FI,48.25,clear sky,64.2273,27.7285,Original Sokos Hotel Valjus
365,Qostanay,KZ,57.49,clear sky,53.1667,63.5833,Hotel Fessla
369,Bonavista,CA,64.45,few clouds,48.6499,-53.1147,Sweet Sharons bnb
370,Madimba,TZ,68.52,clear sky,-10.4,40.3333,
371,Morondava,MG,66.06,clear sky,-20.2833,44.2833,La Case Bambou
372,Coquimbo,CL,54.14,few clouds,-29.9533,-71.3436,Hotel San Juan
374,Wagga Wagga,AU,60.85,broken clouds,-35.1167,147.3667,The Club Motel and Apartments
375,Llandrindod Wells,GB,60.39,overcast clouds,52.2416,-3.3787,Metropole Hotel and Spa
379,Lata,PT,56.53,clear sky,40.1629,-8.3327,Casa Maquia
384,Kerouane,GN,67.05,overcast clouds,9.2667,-9.0167,Hotel Seka Seka
394,Evensk,RU,62.49,clear sky,61.95,159.2333,
395,Kozlovo,RU,60.89,overcast clouds,56.5167,36.2667,
